id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,late_delivery,late,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,freight_cost_groups,line_item_insurance_usd
20266,Uganda,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,150,1.13E+04,75,0.62,"Janssen-Cilag, Latina, IT",Yes,49,475,reasonable,15.77
6196,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,ANTM,Malaria,IDA FOUNDATION,"Quinine 300mg (as sulfate), tablets, Blister 100 x 10 Tabs",Quinine (as sulfate),Generic,300mg,Tablet - blister,1000,12,6.30E+02,52.49,0.05,"Medopharm Malur Factory, INDIA",Yes,12,536.78,reasonable,1.23
68937,Uganda,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,100mg,Tablet,60,587,4.02E+03,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,85,1253.45,reasonable,4.97
8459,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,9792,7.25E+04,7.4,0.12,"Cipla, Goa, India",Yes,836,5136.08,expensive,115.94
3970,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,N/A,Test kit,30,2000,4.20E+04,21,0.7,Premier Med. Corp Ltd. India,Yes,600,5714.31,expensive,NaN
9096,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,N/A,Test kit,30,5000,1.20E+05,24,0.8,"Standard Diagnostics, Korea",Yes,1558,11653.64,expensive,235.2
36219,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,100000,7.30E+05,7.3,0.12,"Aurobindo Unit III, India",Yes,5178,14621.3,expensive,1204.5
58555,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,STRIDES ARCOLAB LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,16645,3.91E+04,2.35,0.04,"Strides, Bangalore, India.",Yes,742,5440.01,expensive,64.54
57590,Uganda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,CIPLA LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,40000,1.84E+05,4.6,0.15,"Cipla, Kurkumbh, India",Yes,4620,18550.93,expensive,227.61
40851,Cameroon,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5000,3.25E+04,6.5,0.11,Mylan (formerly Matrix) Nashik,Yes,294,4339.64,reasonable,40.2
60359,Burundi,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,N/A,Test kit,30,428,1.18E+04,27.6,0.92,Chembio Diagnostics Sys. Inc.,Yes,47,732.47,reasonable,14.61
1295,Mozambique,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,80,3.29E+03,41.1,0.34,ABBSP,Yes,25,NaN,None,NaN
53560,Nigeria,PMO - US,Direct Drop,EXW,Air,1,Yes,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3038,2.70E+05,89,0.89,"Alere Medical Co., Ltd.",Yes,1234,21084.84,expensive,334.46
66967,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,116857,7.77E+05,6.65,0.22,"Aurobindo Unit III, India",Yes,10907,7905.94,expensive,1675.43
63438,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,80516,6.52E+05,8.1,0.13,"Cipla, Goa, India",Yes,11646,50445.73,expensive,806.75
40934,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,71,1.65E+03,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,15,493.42,reasonable,2.04
960,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5964,5.14E+04,8.61,0.14,"Aurobindo Unit III, India",Yes,3509,12835.2,expensive,100.65
81483,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,CIPLA LIMITED,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,525,3.47E+03,6.6,0.11,"Cipla, Goa, India",Yes,34,807.47,reasonable,4.86
41368,Haiti,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,50,1.81E+03,36.16,0.12,ABBVIE (Abbott) Logis. UK,Yes,100,3806.01,reasonable,3.9
18664,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,1436,1.64E+04,11.45,0.19,Hetero Unit III Hyderabad IN,Yes,2832,7474.2,expensive,20.34
41902,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,13307,4.72E+04,3.55,0.12,Hetero Unit III Hyderabad IN,Yes,1018,1681.58,reasonable,58.44
637,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,42000,6.09E+04,1.45,0.02,"Aurobindo Unit III, India",Yes,2600,10179.16,expensive,97.44
72836,Ghana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,29107,2.39E+05,8.2,0.14,"Aurobindo Unit III, India",Yes,3647,18545.17,expensive,245.36
60840,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,STRIDES ARCOLAB LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,237500,6.82E+05,2.87,0.05,"Strides, Bangalore, India.",Yes,15475,14682.98,expensive,1469.58
791,Namibia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,150,1.08E+04,71.99,0.72,Inverness Japan,Yes,46,2698.04,reasonable,21.17
7849,Uganda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,84,1.54E+03,18.34,0.61,"BMS Meymac, France",Yes,4,390.81,reasonable,3.02
74780,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,3678,1.07E+05,29,1.45,Chembio Diagnostics Sys. Inc.,Yes,1056,12363.35,expensive,149.54
15248,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,16300,1.82E+05,11.15,0.19,"Aurobindo Unit III, India",Yes,2011,11648.31,expensive,356.22
14665,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1000,9.77E+04,97.68,0.98,Inverness Japan,Yes,227,2486.62,reasonable,210.6
54296,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,32083,1.45E+05,4.51,0.15,"Aurobindo Unit III, India",Yes,2808,630.5,reasonable,311.96
3552,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,213,1.53E+04,72,0.72,Inverness Japan,Yes,64,1083.36,reasonable,30.06
44099,Haiti,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,612,3.64E+03,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,76,1286.68,reasonable,4.5
21301,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,EMCURE PHARMACEUTICALS LTD,"Atazanavir 150mg, capsules, 60 Caps",Atazanavir,Generic,150mg,Capsule,60,1065,2.78E+04,26.09,0.43,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,112,1122.07,reasonable,59.91
29259,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2906,2.33E+05,80,0.8,"Alere Medical Co., Ltd.",Yes,1204,19587.34,expensive,287.58
8437,Botswana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,100,7.20E+03,71.99,0.72,Inverness Japan,Yes,28,641.06,reasonable,11.52
5905,Tanzania,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,132,1.99E+03,15.08,0.06,GSK Mississauga (Canada),Yes,65,633,reasonable,3.18
36298,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,60,4.60E+03,76.72,0.23,ABBVIE (Abbott) Logis. UK,Yes,170,4256.38,reasonable,9.92
59502,Botswana,PMO - US,Direct Drop,EXW,Air,1,Yes,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,39550,4.13E+05,10.43,0.35,"Hetero, Jadcherla, unit 5, IN",Yes,4840,23796.98,expensive,485.52
30850,Sudan,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,105,9.35E+03,89,0.89,"Alere Medical Co., Ltd.",Yes,49,1768.15,reasonable,15.42
54180,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1400,1.15E+05,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,209,954.38,reasonable,225.56
9353,Botswana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,10,3.50E+03,350,3.5,"Pacific Biotech, Thailand",Yes,24,1091.64,reasonable,5.6
47975,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1575,1.30E+05,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,382,5528.41,expensive,213.62
1646,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,832,2.66E+04,32,1.6,"Trinity Biotech, Plc",Yes,832,3740.04,reasonable,42.6
67661,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,114,5.13E+02,4.5,0.04,"Aurobindo Unit III, India",Yes,5,672.49,reasonable,0.63
7467,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1,3510,8.07E+04,23,23,"KHB Test Kit Facility, Shanghai China",Yes,2535,20083.74,expensive,158.23
7184,Zimbabwe,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,7864,1.57E+05,20,0.8,"Standard Diagnostics, Korea",Yes,2450,18087.86,expensive,308.27
56487,Zambia,PMO - US,Direct Drop,EXW,Air,1,Yes,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2814,2.25E+05,80,0.8,Inverness Japan,Yes,1363,22746.62,expensive,485.36
24060,Rwanda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,10620,2.75E+04,2.59,0.04,Hetero Unit III Hyderabad IN,Yes,593,730.81,reasonable,53.91
56668,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,8245,6.76E+04,8.2,0.14,Hetero Unit III Hyderabad IN,Yes,759,7261.69,expensive,111.55
5280,Vietnam,PMO - US,Direct Drop,EXW,Air,1,Yes,ARV,Pediatric,Aurobindo Pharma Limited,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,100mg,Chewable/dispersible tablet,60,1700,1.79E+04,10.5,0.18,"Aurobindo Unit III, India",Yes,356,14982.1,expensive,NaN
32402,Ghana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,1905,2.72E+03,1.43,0.01,"Aurobindo Unit III, India",Yes,786,4304.34,reasonable,2.8
65987,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,100,6.08E+03,60.82,0.2,ABBVIE (Abbott) Logis. UK,Yes,164,742.1,reasonable,8.53
43628,Botswana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,N/A,Test kit - Ancillary,2,15,4.65E+02,31,15.5,"Trinity Biotech, Plc",Yes,5,592.46,reasonable,1
1502,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,ASPEN PHARMACARE,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1609,2.74E+04,17,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,157,7922.24,expensive,43.76
3097,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,2464,3.72E+03,1.51,0.03,"Strides, Bangalore, India.",Yes,114,2879.96,reasonable,5.95
58202,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,21384,2.17E+05,10.15,0.34,Mylan (formerly Matrix) Nashik,Yes,2406,4872.65,reasonable,223.12
28282,Cameroon,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,8800,5.23E+04,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,1485,10334.23,expensive,61.52
25103,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3500,2.80E+05,80,0.8,Inverness Japan,Yes,1669,30754.1,expensive,462
28577,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,53149,1.06E+06,19.9,0.66,Mylan (formerly Matrix) Nashik,Yes,5808,28514.49,expensive,2280.33
9841,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,ACT,ACT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,540,34,1.55E+03,45.52,0.08,"Novartis Pharma AG, Switzerland",Yes,159,1976.57,reasonable,2.48
20506,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,17300,5.45E+04,3.15,0.1,Hetero Unit III Hyderabad IN,Yes,1320,2730.91,reasonable,64.14
38793,Zimbabwe,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2856,2.29E+05,80,0.8,Inverness Japan,Yes,1102,26846.59,expensive,376.99
9151,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,19392,1.31E+05,6.75,0.11,"Cipla, Goa, India",Yes,1899,5209.46,expensive,256.56
64664,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,120,1.79E+03,14.93,0.25,"Aurobindo Unit III, India",Yes,12,160.52,reasonable,2.96
64904,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2744,2.44E+05,89,0.89,"Alere Medical Co., Ltd.",Yes,1186,24927.19,expensive,342.39
43912,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,1217,8.24E+03,6.77,0.11,"Aurobindo Unit III, India",Yes,124,976.44,reasonable,8.47
76112,Rwanda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,20700,2.27E+05,10.95,0.36,Mylan (formerly Matrix) Nashik,Yes,1795,21340.35,expensive,444.26
36978,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,MICRO LABS LIMITED,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,1240,2.51E+03,2.02,0.07,"Micro labs, Verna, Goa, India",Yes,71,990.04,reasonable,3.51
75522,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,11517,3.73E+04,3.24,0.11,Hetero Unit III Hyderabad IN,Yes,1006,3001.35,reasonable,46.16
420,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,9.64E+04,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654,4051.34,reasonable,154.29
43635,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,13907,1.55E+05,11.15,0.37,Mylan (formerly Matrix) Nashik,Yes,1578,2689.85,reasonable,191.81
49919,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,7000,5.67E+04,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,974,1069.31,reasonable,58.29
36913,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,1470,4.70E+04,32,1.6,"Trinity Biotech, Plc",Yes,500,5255.14,expensive,101.42
8061,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,10000,2.00E+05,20,0.8,"Standard Diagnostics, Korea",Yes,3336,28837.28,expensive,320
76063,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,3192,6.70E+03,2.1,0.04,Mylan (formerly Matrix) Nashik,Yes,157,2010.69,reasonable,8.29
