Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
NaN,6/6/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,1 stop,No info,8907,9.5
Air India,3/5/2019,NaN,Banglore,CCU → BLR,20:45,23:20,non-stop,No info,4145,2.583
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,6/10/2025 9:45,1 stop,No info,14151,13.333
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,6:00,15:30,1 stop,No info,7845,9.5
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,9:15,19:15,1 stop,No info,8099,10
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,5/28/2025 1:30,1 stop,No info,13377,10.5
Air India,12/3/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,6:50,3/13/2025 11:20,2 stops,No info,12734,28.5
Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,22:50,6/4/2025 4:25,1 stop,In-flight meal not included,10262,5.583
Jet Airways,15/05/2019,NaN,Delhi,NaN,18:55,22:00,non-stop,No info,7229,3.083
Vistara,6/3/2019,Mumbai,NaN,BOM → DEL → HYD,8:45,3/7/2025 9:25,1 stop,No info,NaN,24.667
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,3/25/2025 9:15,1 stop,In-flight meal not included,11134,13.5
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,1 stop,In-flight meal not included,6540,5.833
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,6:40,19:15,NaN,NaN,NaN,12.583
Air India,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,6/25/2025 7:40,2 stops,No info,9548,19.667
Vistara,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,5/2/2025 10:45,1 stop,No info,9187,27.583
IndiGo,9/5/2019,Delhi,Cochin,DEL → HYD → COK,7:35,12:10,1 stop,No info,5054,4.583
Air India,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,1 stop,No info,10413,10.417
IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,21:25,5/28/2025 0:05,non-stop,No info,4804,2.667
IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,6:25,7:55,non-stop,No info,4049,1.5
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,6/28/2025 1:30,1 stop,No info,6795,6.5
Air India,21/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,non-stop,No info,4435,2.583
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,6/13/2025 4:40,1 stop,In-flight meal not included,6224,12.167
IndiGo,12/6/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,non-stop,No info,4804,2.583
IndiGo,15/04/2019,Delhi,Cochin,DEL → HYD → COK,5:05,16:10,1 stop,No info,6171,11.083
IndiGo,3/6/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,1 stop,No info,6093,9.583
IndiGo,12/4/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,non-stop,No info,4174,2.583
IndiGo,6/5/2019,Mumbai,Hyderabad,BOM → HYD,2:35,4:05,non-stop,No info,3342,NaN
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,1 stop,No info,13587,11
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,5/22/2025 4:25,1 stop,No info,16079,6.583
IndiGo,18/04/2019,Delhi,Cochin,DEL → COK,5:35,8:50,non-stop,No info,6015,3.25
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,5/25/2025 19:10,1 stop,No info,13067,26.167
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,4:55,12:35,1 stop,No info,9103,7.667
Jet Airways,24/05/2019,Kolkata,NaN,CCU → DEL → BLR,NaN,5/25/2025 23:35,1 stop,NaN,14151,27.167
NaN,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,6:20,18:50,2 stops,No info,NaN,12.5
IndiGo,9/3/2019,Delhi,Cochin,DEL → HYD → MAA → COK,8:35,21:20,2 stops,No info,8146,12.75
Air India,6/5/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,5/7/2025 4:40,1 stop,No info,6117,9.667
Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,3/4/2025 4:25,1 stop,No info,17024,26.167
NaN,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,3/2/2025 7:40,1 stop,1 Long layover,22270,17.583
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,6/10/2025 21:05,1 stop,No info,12692,24.667
Vistara,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,20:20,1 stop,No info,8610,13.167
Multiple carriers,NaN,Delhi,Cochin,DEL → HYD → COK,7:10,22:30,1 stop,No info,6723,15.333
Vistara,12/5/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,non-stop,No info,4878,2.583
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,3/7/2025 7:40,1 stop,No info,16736,11.083
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,3/25/2025 9:15,1 stop,In-flight meal not included,11134,19.333
IndiGo,3/5/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,3943,2.833
Multiple carriers,12/6/2019,Delhi,Cochin,DEL → BOM → COK,9:00,21:00,1 stop,No info,13587,12
Jet Airways,6/3/2019,Delhi,Cochin,DEL → IDR → BOM → COK,5:25,3/7/2025 4:25,2 stops,No info,16914,23
SpiceJet,18/05/2019,Mumbai,Hyderabad,NaN,22:45,5/19/2025 0:15,NaN,No check-in baggage included,1965,1.5
Multiple carriers,9/5/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,1 stop,No info,8073,8
IndiGo,3/6/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,non-stop,No info,3943,2.833
IndiGo,12/5/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,1 stop,No info,NaN,4.833
GoAir,15/05/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,non-stop,No info,3398,2.833
Air Asia,18/04/2019,Kolkata,Banglore,CCU → BLR,10:20,NaN,non-stop,NaN,4409,2.583
Jet Airways,21/06/2019,Banglore,NaN,BLR → DEL,17:45,20:45,non-stop,No info,8541,3
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,4:00,6:50,non-stop,No info,4777,2.833
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,22:20,3/19/2025 0:40,non-stop,No info,3847,2.333
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 02 Apr,1 stop,In-flight meal not included,7064,17.083
Vistara,27/05/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,non-stop,No info,4668,2.833
SpiceJet,18/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,3/19/2025 0:10,non-stop,No check-in baggage included,1965,1.417
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,16:20,1 stop,No info,14781,9.833
IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,non-stop,No info,4049,1.5
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,5/19/2025 8:15,1 stop,No info,13584,13.333
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,5/19/2025 12:35,1 stop,In-flight meal not included,12373,15.667
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5/28/2025 19:00,1 stop,No info,NaN,27
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,8:20,11:20,non-stop,No info,7229,3
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,3/7/2025 21:20,1 stop,No info,17471,23.917
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,16:20,1 stop,No info,14781,9.833
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,19:50,1 stop,No info,14571,13.333
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,3:50,12:35,1 stop,No info,10197,8.75
SpiceJet,1/6/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,1 stop,No info,5975,NaN
Multiple carriers,9/4/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 10 Apr,1 stop,No info,8535,7.75
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,9:55,21:00,1 stop,No info,12537,11.083
Air India,24/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,non-stop,NaN,4145,2.583
IndiGo,15/03/2019,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,non-stop,No info,NaN,1.5
NaN,9/5/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,5/10/2025 10:40,1 stop,No info,5192,12
Air India,9/5/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,non-stop,No info,6121,2.833
Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,3:50,19:15,1 stop,No info,8669,15.417
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,6:00,19:15,1 stop,No info,8476,13.25
SpiceJet,21/06/2019,Mumbai,Hyderabad,BOM → HYD,5:45,7:15,non-stop,No check-in baggage included,2647,1.5
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/7/2025 19:00,1 stop,No info,14714,22.083
Air India,6/3/2019,Delhi,Cochin,DEL → BLR → COK,20:30,3/7/2025 8:15,1 stop,No info,10566,11.75
Jet Airways,NaN,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,1 stop,In-flight meal not included,10262,7.5
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,3/22/2025 1:35,1 stop,No info,8098,15.583
Multiple carriers,NaN,Delhi,Cochin,DEL → BOM → COK,10:00,NaN,1 stop,No info,6883,11
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,NaN,19:15,1 stop,No info,16108,9.25
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,non-stop,No check-in baggage included,4413,2.5
Jet Airways,1/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,6/2/2025 12:35,2 stops,In-flight meal not included,10919,22
IndiGo,9/5/2019,Kolkata,Banglore,CCU → BLR,21:25,5/10/2025 0:05,non-stop,No info,4804,2.667
Jet Airways,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,6/7/2025 10:55,1 stop,In-flight meal not included,10539,14.5
IndiGo,9/3/2019,Banglore,New Delhi,BLR → DEL,22:20,3/13/2025 1:10,non-stop,No info,4377,2.833
Air India,6/6/2019,Banglore,Delhi,BLR → DEL,6:10,8:55,non-stop,No info,6961,2.75
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,1 stop,No info,7408,8
IndiGo,9/5/2019,Banglore,Delhi,BLR → DEL,NaN,21:50,non-stop,NaN,4823,2.917
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,non-stop,No info,5198,2.583
Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,6/2/2025 19:00,1 stop,In-flight meal not included,10262,25.5
Vistara,27/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,non-stop,No info,5613,2.583
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/13/2025 4:25,1 stop,In-flight meal not included,10262,7.5
IndiGo,3/5/2019,Mumbai,NaN,BOM → HYD,9:10,10:40,non-stop,No info,5755,1.5
Vistara,21/05/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,non-stop,No info,3687,2.25
Jet Airways,3/6/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,No info,5678,1.5
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,3/22/2025 1:35,1 stop,No info,13542,7.333
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,3/22/2025 18:50,1 stop,No info,12347,23.583
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,1 stop,In-flight meal not included,12384,9.583
Jet Airways,9/4/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,04:25 10 Apr,2 stops,No info,10909,22.917
IndiGo,3/6/2019,NaN,Delhi,BLR → DEL,16:55,19:55,non-stop,No info,4823,3
IndiGo,12/6/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,1 stop,No info,6069,5
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5/22/2025 19:00,1 stop,In-flight meal not included,12898,27
IndiGo,15/06/2019,Kolkata,Banglore,NaN,4:40,7:15,non-stop,No info,4804,2.583
NaN,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,3/25/2025 4:45,1 stop,In-flight meal not included,NaN,20.333
IndiGo,9/6/2019,Delhi,Cochin,DEL → HYD → COK,7:35,22:30,1 stop,No info,6442,14.917
Air India,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,5/22/2025 7:40,2 stops,No info,9653,19.667
NaN,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,6/10/2025 20:20,1 stop,No info,8610,27.333
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,NaN,14714,5
Air India,1/3/2019,Banglore,New Delhi,BLR → AMD → DEL,0:30,23:55,1 stop,1 Long layover,12599,23.417
Multiple carriers,9/5/2019,Delhi,Cochin,DEL → BOM → COK,4:55,19:00,1 stop,No info,9103,14.083
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,5/22/2025 4:25,1 stop,In-flight meal not included,12898,5.583
SpiceJet,6/6/2019,Mumbai,Hyderabad,BOM → HYD,5:45,7:15,NaN,No check-in baggage included,2647,1.5
Jet Airways,3/3/2019,Mumbai,Hyderabad,BOM → HYD,7:10,8:35,non-stop,No info,5678,1.417
Jet Airways,18/05/2019,Delhi,Cochin,NaN,19:15,5/19/2025 12:35,1 stop,In-flight meal not included,12373,17.333
SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,non-stop,No info,3847,2.5
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,5/22/2025 18:00,1 stop,No info,14151,25
Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,3/7/2025 4:25,1 stop,In-flight meal not included,13843,20.417
Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,7229,2.917
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,2:55,4:20,non-stop,In-flight meal not included,4995,1.417
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/7/2025 4:25,1 stop,In-flight meal not included,10262,7.5
Jet Airways,9/5/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,5/10/2025 4:25,2 stops,In-flight meal not included,13029,22.917
Jet Airways,NaN,Delhi,Cochin,DEL → BOM → COK,19:15,3/10/2025 4:25,1 stop,In-flight meal not included,14053,9.167
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,3/2/2025 7:40,1 stop,1 Long layover,26890,14.75
SpiceJet,1/4/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No check-in baggage included,NaN,2.5
Air India,1/3/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,22:55,1 stop,No info,11003,12.417
Vistara,9/4/2019,Banglore,Delhi,BLR → DEL,11:30,14:20,non-stop,No info,5403,2.833
Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,18:50,1 stop,No info,15342,10.833
Air India,12/6/2019,Kolkata,NaN,CCU → DEL → COK → BLR,20:30,6/13/2025 13:45,2 stops,NaN,12224,17.25
IndiGo,15/03/2019,NaN,Kolkata,MAA → CCU,19:35,21:55,non-stop,No info,NaN,2.333
SpiceJet,1/5/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,1 stop,No info,NaN,5.5
Multiple carriers,1/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,6/2/2025 1:30,1 stop,No info,13377,11.5
GoAir,9/3/2019,Banglore,New Delhi,BLR → DEL,20:55,23:50,non-stop,No info,5706,2.917
Air India,12/6/2019,Delhi,Cochin,DEL → BOM → COK,21:00,6/13/2025 7:40,1 stop,No info,8372,10.667
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,6:40,21:00,1 stop,No info,6526,14.333
IndiGo,1/6/2019,Banglore,Delhi,BLR → DEL,16:55,19:45,non-stop,No info,4823,2.833
IndiGo,24/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,non-stop,No info,3175,NaN
Multiple carriers,6/5/2019,Delhi,NaN,DEL → BOM → COK,9:00,19:00,1 stop,No info,10407,10
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,4423,2.833
Vistara,9/5/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,5/10/2025 20:20,1 stop,No info,9555,27.333
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20 02 Apr,1 stop,No info,12681,23.833
Jet Airways,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,6/7/2025 4:40,1 stop,No info,13059,14.583
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,5/10/2025 10:05,1 stop,In-flight meal not included,8586,17.583
GoAir,6/4/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,non-stop,No info,3419,2.75
NaN,3/6/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No info,3873,2.5
Air India,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,1 stop,No info,10203,10.417
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,5/28/2025 4:25,2 stops,In-flight meal not included,13029,8.917
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,1 stop,In-flight meal not included,10844,6.083
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,NaN,3/25/2025 8:10,1 stop,NaN,11134,13.25
Vistara,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,6/13/2025 18:50,1 stop,No info,NaN,22.5
IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,non-stop,No info,4174,2.583
Jet Airways,9/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,3/13/2025 9:30,1 stop,NaN,11087,25.5
SpiceJet,18/06/2019,Banglore,Delhi,BLR → DEL,21:10,6/19/2025 0:05,non-stop,No info,3971,NaN
Jet Airways,9/4/2019,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,1 stop,No info,17531,11.917
SpiceJet,6/6/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,non-stop,No check-in baggage included,3573,2.667
Air India,1/5/2019,Kolkata,Banglore,CCU → BOM → BLR,9:25,5/2/2025 7:55,1 stop,No info,8366,22.5
Air India,3/3/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,13885,2.5
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,6/10/2025 1:30,2 stops,No info,18485,7.667
Air Asia,27/04/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,non-stop,No info,4409,2.5
Vistara,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,5/2/2025 23:25,1 stop,No info,8085,27.083
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,6/7/2025 1:30,1 stop,No info,13377,8
Air India,21/05/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,5/22/2025 7:40,2 stops,No info,13538,18.333
Multiple carriers,6/3/2019,Delhi,Cochin,DEL → BOM → COK,19:00,3/7/2025 1:35,1 stop,No info,15147,6.583
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,non-stop,In-flight meal not included,4030,2.917
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:15,1 stop,No info,14848,11.25
Jet Airways,NaN,Banglore,New Delhi,BLR → BOM → DEL,22:50,3/16/2025 8:15,1 stop,No info,13555,9.417
Air India,18/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,7:05,5/19/2025 9:25,2 stops,No info,10975,26.333
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,5/22/2025 12:35,2 stops,In-flight meal not included,13029,26.917
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,5/13/2025 9:20,1 stop,NaN,9663,24.917
Jet Airways,1/6/2019,Mumbai,Hyderabad,BOM → HYD,10:20,NaN,non-stop,In-flight meal not included,4050,1.5
Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,6/4/2025 4:25,1 stop,No info,14714,10.917
Air India,1/3/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,21:25,2 stops,No info,11213,10.917
Jet Airways,9/4/2019,Banglore,Delhi,BLR → DEL,6:00,8:45,non-stop,In-flight meal not included,4544,2.75
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,non-stop,No info,3873,2.417
Multiple carriers,9/4/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,1 stop,No info,12537,8
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,1 stop,No info,13067,9.583
Jet Airways,9/5/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,5/11/2025 4:25,2 stops,No info,16704,29.333
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,6:45,NaN,1 stop,No info,8714,5.5
Jet Airways,3/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,6/4/2025 12:35,2 stops,No info,13376,22
NaN,27/06/2019,Chennai,Kolkata,MAA → CCU,8:20,10:35,non-stop,No info,3597,2.25
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,5/19/2025 1:30,1 stop,No info,7670,12.667
NaN,24/03/2019,Kolkata,NaN,CCU → GAU → DEL → BLR,9:50,3/25/2025 23:15,NaN,No info,14410,37.417
Air India,15/05/2019,Delhi,Cochin,DEL → MAA → COK,9:45,5/16/2025 9:25,1 stop,No info,7480,23.667
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/10/2025 18:15,1 stop,No info,13584,22.25
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,3/2/2025 10:25,1 stop,1 Long layover,25735,17.5
Jet Airways,1/4/2019,Banglore,Delhi,NaN,17:45,20:45,non-stop,In-flight meal not included,4544,3
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,9:15,19:15,1 stop,No info,8099,10
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,5/16/2025 4:40,1 stop,In-flight meal not included,10844,12.167
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,3/22/2025 4:25,1 stop,NaN,12557,9.167
Jet Airways,9/5/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,No info,9564,3.25
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,3/13/2025 9:30,1 stop,No info,13817,12.083
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,NaN,In-flight meal not included,NaN,9.583
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,4:55,19:15,1 stop,No info,7575,14.333
Air India,6/5/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,5/7/2025 12:00,2 stops,No info,14120,19.25
Multiple carriers,9/3/2019,Delhi,Cochin,DEL → HYD → COK,7:05,22:20,1 stop,No info,6916,15.25
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,7:10,22:30,1 stop,No info,7878,15.333
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,3/16/2025 20:20,1 stop,In-flight meal not included,11087,21.5
IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,non-stop,No info,4804,2.5
SpiceJet,15/06/2019,Chennai,Kolkata,MAA → CCU,9:45,12:00,non-stop,No info,3597,2.25
Air India,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,5/16/2025 16:15,2 stops,No info,12723,34.417
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,non-stop,No info,2227,1.583
Air India,24/05/2019,Delhi,Cochin,DEL → BOM → COK,7:00,19:15,1 stop,No info,9929,12.25
Jet Airways,9/6/2019,Kolkata,Banglore,NaN,21:10,6/10/2025 9:20,1 stop,In-flight meal not included,NaN,12.167
Jet Airways,9/5/2019,NaN,Cochin,DEL → BOM → COK,11:30,5/10/2025 4:25,1 stop,In-flight meal not included,NaN,16.917
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,5/22/2025 19:00,1 stop,In-flight meal not included,12898,22.083
Air India,3/3/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,3/4/2025 7:40,2 stops,No info,15113,25.75
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,1 stop,No info,10529,7.333
Air India,27/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,13:05,3/28/2025 7:40,2 stops,No info,8875,18.583
Jet Airways,NaN,Kolkata,Banglore,CCU → BOM → BLR,NaN,20:45,1 stop,NaN,10844,12.333
Air India,1/3/2019,Banglore,New Delhi,BLR → DEL,NaN,8:55,non-stop,No info,15676,2.75
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,23:35,1 stop,In-flight meal not included,7064,15.167
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,19:50,1 stop,In-flight meal not included,10844,11.417
Jet Airways,6/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,14:00,3/7/2025 16:50,1 stop,No info,19595,26.833
Jet Airways,NaN,Kolkata,Banglore,CCU → BOM → BLR,14:05,5/2/2025 8:15,1 stop,No info,13941,18.167
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,8:35,16:10,1 stop,No info,6790,7.583
SpiceJet,27/04/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,non-stop,No check-in baggage included,3841,2.417
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,3/16/2025 9:00,1 stop,In-flight meal not included,11087,21.333
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,5/16/2025 19:15,2 stops,No info,11491,23.5
NaN,9/4/2019,Banglore,Delhi,BLR → DEL,5:30,8:20,non-stop,No info,3943,2.833
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,3/2/2025 7:40,1 stop,No info,22270,20
Vistara,9/6/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,non-stop,No info,4878,2.583
